suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2020,5,50000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,1410,0.45790080738177619,53.647058823529413,49.352941176470587,2.98487717250066,3.2741881753769349,0.46557416127811768,10,holm-bonferroni,0.79813980693304942,0.05,=
cec2020,5,50000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,192.5,0.92599000384467511,29.774509803921568,73.225490196078425,0.14415471926281498,0.360140728029819,1.2416764129035916e-13,10,holm-bonferroni,9.9334113032287324e-13,0.05,>
cec2020,5,50000,all,5,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2462,0.053440984236831968,74.274509803921575,28.725490196078432,2.6140174348604432,0.045452451643313907,6.6732253113716814e-15,10,holm-bonferroni,6.0059027802345129e-14,0.05,<
cec2020,5,50000,all,6,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,871,0.66512879661668589,43.078431372549019,59.921568627450981,0.39609834130101262,0.49651018377676337,0.0040894315099885758,10,holm-bonferroni,0.02044715754994288,0.05,>
cec2020,5,50000,all,7,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1174,0.54863514033064198,49.019607843137251,53.980392156862749,1.3333788047020789e-06,7.8749729254923295e-05,0.39906990346652471,10,holm-bonferroni,0.79813980693304942,0.05,=
cec2020,5,50000,all,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2403,0.076124567474048388,73.117647058823536,29.882352941176471,6.6059859647452868,0,1.6074472013674752e-13,10,holm-bonferroni,1.1252130409572326e-12,0.05,<
cec2020,5,50000,all,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,3.3166998036904261e-08,0,3.3022494762767633e-18,10,holm-bonferroni,3.3022494762767634e-17,0.05,<
cec2020,5,50000,all,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,2152,0.17262591311034214,68.196078431372541,34.803921568627452,100.00309190610733,0,1.2301524996191355e-08,10,holm-bonferroni,7.3809149977148134e-08,0.05,<
cec2020,5,50000,composition,8,composition,NEA2PLUS-PY,MSC-CMA,51,51,2403,0.076124567474048388,73.117647058823536,29.882352941176471,6.6059859647452868,0,1.6074472013674752e-13,3,holm-bonferroni,3.2148944027349505e-13,0.05,<
cec2020,5,50000,composition,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,3.3166998036904261e-08,0,3.3022494762767633e-18,3,holm-bonferroni,9.9067484288302896e-18,0.05,<
cec2020,5,50000,composition,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,2152,0.17262591311034214,68.196078431372541,34.803921568627452,100.00309190610733,0,1.2301524996191355e-08,3,holm-bonferroni,1.2301524996191355e-08,0.05,<
cec2020,10,1000000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,0,0,6.8831868019631798e-19,10,holm-bonferroni,6.8831868019631796e-18,0.05,<
cec2020,10,1000000,all,2,basic,NEA2PLUS-PY,MSC-CMA,51,51,2581,0.0076893502499039146,76.607843137254903,26.392156862745097,22.579553320371815,0.43718108727171057,1.0483558344161306e-17,10,holm-bonferroni,7.3384908409129135e-17,0.05,<
cec2020,10,1000000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,1059,0.5928489042675894,46.764705882352942,56.235294117647058,4.5973433898390113,5.4336416952810396,0.10675601649972216,10,holm-bonferroni,0.28287746750407283,0.05,=
cec2020,10,1000000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,39,0.98500576701268738,26.764705882352942,76.235294117647058,0.3480486864912109,1.0474023547030811,3.1868721429319784e-17,10,holm-bonferroni,1.9121232857591869e-16,0.05,>
cec2020,10,1000000,all,5,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,19.112304524818001,0.20814298464574676,1.4636103827484819e-18,10,holm-bonferroni,1.3172493444736336e-17,0.05,<
