suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2014,30,300000,all,7,basic,CMAES-NBC,MSC-CMA,51,51,25.5,0.99019607843137258,26.5,76.5,0,0,9.6187583198098524e-22,30,holm-bonferroni,2.7894399127448569e-20,0.05,>
cec2014,30,300000,all,8,basic,CMAES-NBC,MSC-CMA,51,51,2425,0.06766628219915416,73.549019607843135,29.450980392156865,13.7522232858789,7.9596674189273244,3.3821908635137012e-14,30,holm-bonferroni,2.3665487799298285e-13,0.05,<
cec2014,30,300000,all,9,basic,CMAES-NBC,MSC-CMA,51,51,6,0.99769319492502884,26.117647058823529,76.882352941176464,0,4.9747952854664845,2.5054344898810092e-19,30,holm-bonferroni,4.7603255307739175e-18,0.05,>
cec2014,30,300000,all,10,basic,CMAES-NBC,MSC-CMA,51,51,2451,0.057670126874279082,74.058823529411768,28.941176470588236,714.10028039263705,39.513139706486982,1.3971975970711447e-14,30,holm-bonferroni,1.1177580776569158e-13,0.05,<
cec2014,30,300000,all,11,basic,CMAES-NBC,MSC-CMA,51,51,395,0.84813533256439833,33.745098039215684,69.254901960784309,46.577574543740397,279.91812202778056,1.3876967089405705e-09,30,holm-bonferroni,5.5507868357622822e-09,0.05,>
cec2014,30,300000,all,12,basic,CMAES-NBC,MSC-CMA,51,51,2550,0.019607843137254943,76,27,1.38150030810129,0.029192895157166276,6.3149548680310421e-17,30,holm-bonferroni,6.3149548680310423e-16,0.05,<
cec2014,30,300000,all,13,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0.079862216723313395,0.27829188593887011,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,14,basic,CMAES-NBC,MSC-CMA,51,51,97,0.96270665128796618,27.901960784313726,75.098039215686271,0.50208216972987396,0.82541352441899107,8.1901169217446734e-16,30,holm-bonferroni,7.3711052295702058e-15,0.05,>
cec2014,30,300000,all,15,basic,CMAES-NBC,MSC-CMA,51,51,859,0.66974240676662822,42.843137254901961,60.156862745098039,2.7078534613554002,3.0454848938982195,0.0031625099443683448,30,holm-bonferroni,0.0063250198887366896,0.05,>
cec2014,30,300000,all,16,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,6.9617339305516497,12.543724877745944,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,17,hybrid,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,24.301123287063099,975.30518530488098,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,18,hybrid,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0.50046890608677996,34.354555263146267,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,19,hybrid,CMAES-NBC,MSC-CMA,51,51,4,0.99846212995001926,26.078431372549019,76.921568627450981,2.3341271350363999,7.1484499898901959,4.1812246147484963e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,20,hybrid,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,1.2777040094676999,110.39098861207367,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,21,hybrid,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,1.8473986867502401,642.51190343099142,3.3036815016661564e-18,30,holm-bonferroni,5.6162585528324665e-17,0.05,>
cec2014,30,300000,all,22,hybrid,CMAES-NBC,MSC-CMA,51,51,2316,0.10957324106113031,71.411764705882348,31.588235294117645,143.811320387579,25.076940900808495,1.0975080780071057e-11,30,holm-bonferroni,5.4875403900355282e-11,0.05,<
cec2014,30,300000,all,23,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,315.24410218556568,1.5538428930779813e-23,30,holm-bonferroni,4.6615286792339439e-22,0.05,>
cec2014,30,300000,all,24,composition,CMAES-NBC,MSC-CMA,51,51,816,0.68627450980392157,42,61,200,200.00730954931169,0.00053447764766718475,30,holm-bonferroni,0.0016034329430015541,0.05,>
cec2014,30,300000,all,25,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,202.91843469453215,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,26,composition,CMAES-NBC,MSC-CMA,51,51,167,0.93579392541330253,29.274509803921568,73.725490196078425,100.118823311325,100.32248353750947,3.3807839713283267e-14,30,holm-bonferroni,2.3665487799298285e-13,0.05,>
cec2014,30,300000,all,27,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,347.79609530682728,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,28,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,779.35568126672024,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,29,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,1112.8344739193062,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
