suite,dimension,budget,scope,position_average,position_min,position_max,position_label,position_interval,tie_size,dense_group,algorithm,rank_sum2,mean_dsc_rank,k,n_functions,omnibus_method,omnibus_statistic,omnibus_p_value,omnibus_message,dsc_status,posthoc_control,posthoc_holm_p
cec2017,10,1000000,all,2.0,2,2,2/7,2/7,1,2,ARRDE,172,2.9655172413793105,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,all,3.0,3,3,3/7,3/7,1,3,j2020,215,3.706896551724138,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,all,4.5,4,5,4.5/7,4-5/7 (tie),2,4,MSC-CMA,251,4.327586206896552,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,all,4.5,4,5,4.5/7,4-5/7 (tie),2,4,jSO,251,4.327586206896552,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,all,6.0,6,6,6/7,6/7,1,5,BIPOP-CMA,261,4.5,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,all,7.0,7,7,7/7,7/7,1,6,LSRTDE,306,5.275862068965517,7,29,friedman,27.753694581280776,0.00010454697635864374,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,1.0,1,1,1/7,1/7,1,1,MSC-CMA,46,2.3,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,2.0,2,2,2/7,2/7,1,2,NLSHADE-RSP,55,2.75,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,3.0,3,3,3/7,3/7,1,3,ARRDE,58,2.9,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,4.0,4,4,4/7,4/7,1,4,j2020,80,4.0,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,5.0,5,5,5/7,5/7,1,5,BIPOP-CMA,93,4.65,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,6.0,6,6,6/7,6/7,1,6,jSO,101,5.05,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,10,1000000,composition,7.0,7,7,7/7,7/7,1,7,LSRTDE,127,6.35,7,10,friedman,27.23571428571427,0.00013079914752478494,The null hypothesis is rejected.,,,
cec2017,30,300000,all,1.0,1,1,1/7,1/7,1,1,LSRTDE,117,2.0172413793103448,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,2.0,2,2,2/7,2/7,1,2,jSO,168,2.896551724137931,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,3.0,3,3,3/7,3/7,1,3,ARRDE,197,3.396551724137931,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,4.0,4,4,4/7,4/7,1,4,BIPOP-CMA,231,3.9827586206896552,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,260,4.482758620689655,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,6.0,6,6,6/7,6/7,1,6,NLSHADE-RSP,303,5.224137931034483,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,all,7.0,7,7,7/7,7/7,1,7,j2020,348,6.0,7,29,friedman,69.87931034482753,4.3287595730134854e-13,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,1.0,1,1,1/7,1/7,1,1,LSRTDE,43,2.15,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,2.0,2,2,2/7,2/7,1,2,jSO,57,2.85,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,3.0,3,3,3/7,3/7,1,3,ARRDE,63,3.15,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,4.0,4,4,4/7,4/7,1,4,BIPOP-CMA,88,4.4,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,5.0,5,5,5/7,5/7,1,5,MSC-CMA,89,4.45,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,6.0,6,6,6/7,6/7,1,6,NLSHADE-RSP,95,4.75,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,300000,composition,7.0,7,7,7/7,7/7,1,7,j2020,125,6.25,7,10,friedman,24.546428571428567,0.00041418187795660977,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,1.0,1,1,1/7,1/7,1,1,LSRTDE,125,2.1551724137931036,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,2.0,2,2,2/7,2/7,1,2,ARRDE,186,3.206896551724138,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,3.0,3,3,3/7,3/7,1,3,jSO,209,3.603448275862069,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,4.0,4,4,4/7,4/7,1,4,MSC-CMA,216,3.7241379310344827,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,5.0,5,5,5/7,5/7,1,5,BIPOP-CMA,233,4.017241379310345,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,6.0,6,6,6/7,6/7,1,6,NLSHADE-RSP,316,5.448275862068965,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,all,7.0,7,7,7/7,7/7,1,7,j2020,339,5.844827586206897,7,29,friedman,60.694581280788185,3.251998670350531e-11,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,1.0,1,1,1/7,1/7,1,1,LSRTDE,58,2.9,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,2.0,2,2,2/7,2/7,1,2,ARRDE,59,2.95,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,3.0,3,3,3/7,3/7,1,3,MSC-CMA,67,3.35,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,4.0,4,4,4/7,4/7,1,4,jSO,82,4.1,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,5.5,5,6,5.5/7,5-6/7 (tie),2,5,BIPOP-CMA,89,4.45,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,5.5,5,6,5.5/7,5-6/7 (tie),2,5,NLSHADE-RSP,89,4.45,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2017,30,1000000,composition,7.0,7,7,7/7,7/7,1,6,j2020,116,5.8,7,10,friedman,13.692857142857143,0.033261766370630386,The null hypothesis is rejected.,,,
cec2020,5,50000,all,1.0,1,1,1/7,1/7,1,1,NLSHADE-RSP,42,2.1,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,
cec2020,5,50000,all,2.0,2,2,2/7,2/7,1,2,ARRDE,59,2.95,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.1894747330486391
cec2020,5,50000,all,3.0,3,3,3/7,3/7,1,3,j2020,69,3.45,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.162298501325709
cec2020,5,50000,all,4.0,4,4,4/7,4/7,1,4,jSO,80,4.0,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.07382898676408685
cec2020,5,50000,all,5.0,5,5,5/7,5/7,1,5,MSC-CMA,83,4.15,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.06768360615023468
cec2020,5,50000,all,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,107,5.35,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.001920054292619973
cec2020,5,50000,all,7.0,7,7,7/7,7/7,1,7,LSRTDE,120,6.0,7,10,friedman,23.27142857142857,0.0007104846633527728,The null hypothesis is rejected.,≈,NLSHADE-RSP,0.00016249783310966838
cec2020,5,50000,composition,1.0,1,1,1/7,1/7,1,1,MSC-CMA,12,2.0,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,2.0,2,2,2/7,2/7,1,2,NLSHADE-RSP,14,2.3333333333333335,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,3.0,3,3,3/7,3/7,1,3,ARRDE,17,2.8333333333333335,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,4.0,4,4,4/7,4/7,1,4,j2020,23,3.8333333333333335,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,5.0,5,5,5/7,5/7,1,5,jSO,31,5.166666666666667,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,6.0,6,6,6/7,6/7,1,6,BIPOP-CMA,32,5.333333333333333,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,50000,composition,7.0,7,7,7/7,7/7,1,7,LSRTDE,39,6.5,7,3,friedman,11.285714285714297,0.07993740596072918,The null hypothesis is not rejected.,O,,
cec2020,5,1000000,all,1.0,1,1,1/7,1/7,1,1,j2020,61,3.05,7,10,friedman,15.867857142857146,0.014481081961988163,The null hypothesis is rejected.,,,
