suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2017,10,100000,24,composition,MSC-CMA-Conly,jSO,51,51,340,0.86928104575163401,2.4874680093489587e-10,323.16335155398701,1.2301832460610534e-10,10,1.2301832460610534e-09,0.05,conly better
cec2017,10,100000,25,composition,MSC-CMA-Conly,jSO,51,51,0,1,100.00717004513126,397.74286946998745,1.0763985813777276e-18,10,1.0763985813777276e-17,0.05,conly better
cec2017,10,100000,26,composition,MSC-CMA-Conly,jSO,51,51,0,1,2.5283952709287405e-10,300,6.8679494091966722e-20,10,6.8679494091966719e-19,0.05,conly better
cec2017,10,100000,27,composition,MSC-CMA-Conly,jSO,51,51,1097,0.578239138792772,393.34013413110461,393.81876468429846,0.16097304902574505,10,1,0.05,not significant
cec2017,10,100000,28,composition,MSC-CMA-Conly,jSO,51,51,400,0.84621299500192237,4.0881786844693124e-10,300,6.8902065717174469e-10,10,6.8902065717174471e-09,0.05,conly better
cec2017,10,100000,29,composition,MSC-CMA-Conly,jSO,51,51,2254,0.13341022683583237,248.56262064021803,234.86170856571107,1.7923980517349181e-10,10,1.792398051734918e-09,0.05,opponent better
cec2017,10,100000,30,composition,MSC-CMA-Conly,jSO,51,51,2601,0,411.97150345065756,394.50077241437975,2.6455267757400926e-18,10,2.6455267757400926e-17,0.05,opponent better
cec2017,10,100000,21,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,181,0.93041138023836989,100.00000000000136,100.00000002719617,6.6292552152956377e-14,10,6.6292552152956377e-13,0.05,conly better
cec2017,10,100000,22,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,319,0.87735486351403302,11.563057352644591,26.286745133961176,5.1462794008926506e-11,10,5.1462794008926503e-10,0.05,conly better
cec2017,10,100000,23,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,511,0.8035371011149558,100.00000000047567,306.26742073077503,1.2878892131608131e-07,10,1.2878892131608132e-06,0.05,conly better
cec2017,10,100000,24,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,63,0.97577854671280273,2.4874680093489587e-10,100.00000002381466,1.2419368187261683e-16,10,1.2419368187261683e-15,0.05,conly better
cec2017,10,100000,25,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,251,0.90349865436370624,100.00717004513126,397.74286947048677,2.2083842750846091e-12,10,2.2083842750846089e-11,0.05,conly better
cec2017,10,100000,26,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,78,0.97001153402537488,2.5283952709287405e-10,200.00000006151822,2.8731646527192134e-16,10,2.8731646527192133e-15,0.05,conly better
cec2017,10,100000,27,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,2213,0.1491733948481353,393.34013413110461,389.51799024352022,1.0328477198030195e-09,10,1.0328477198030195e-08,0.05,opponent better
cec2017,10,100000,28,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,48,0.98154555940023069,4.0881786844693124e-10,300.00000001970693,5.3257162143184026e-17,10,5.3257162143184023e-16,0.05,conly better
cec2017,10,100000,29,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,1038,0.60092272202998842,248.56262064021803,252.70990291318958,0.079518050584080319,10,0.79518050584080324,0.05,not significant
cec2017,10,100000,30,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,1378,0.47020376778162243,411.97150345065756,406.62463717391574,0.60631652420795024,10,1,0.05,not significant
cec2020,5,50000,8,composition,MSC-CMA-Conly,MSC-CMA,51,51,1693,0.3490965013456363,6.605985963546118,3.1832314562052488e-12,0.0085590593323191071,3,0.025677177996957321,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,MSC-CMA,51,51,568,0.78162245290272969,5.5933924159035087e-11,1.4097167877480388e-10,9.6220730751389257e-07,3,2.8866219225416777e-06,0.05,conly better
cec2020,5,50000,10,composition,MSC-CMA-Conly,MSC-CMA,51,51,904,0.65244136870434444,8.8675733422860503e-11,4.7202775022014976e-10,0.0080408525405017157,3,0.024122557621505149,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,ARRDE,51,51,2247.5,0.13590926566705108,6.605985963546118,9.0949470177292824e-13,1.7559928178747686e-10,3,5.2679784536243053e-10,0.05,opponent better
cec2020,5,50000,9,composition,MSC-CMA-Conly,ARRDE,51,51,1537,0.40907343329488655,5.5933924159035087e-11,2.1373125491663814e-11,0.11418632748823702,3,0.34255898246471106,0.05,not significant
cec2020,5,50000,10,composition,MSC-CMA-Conly,ARRDE,51,51,546,0.79008073817762403,8.8675733422860503e-11,100.01320653065068,4.5020951294855131e-07,3,1.350628538845654e-06,0.05,conly better
cec2020,5,50000,8,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,2087.5,0.19742406766628218,6.605985963546118,4.5474735088646412e-13,1.1317575380110268e-07,3,3.3952726140330805e-07,0.05,opponent better
